ORIGINAL,uri
"Belding, Anson Wood.",/agents/people/262
"Bell, Leon.",/agents/people/263
"Bell, Rob.",/agents/people/264
"BenDor, Jan.",/agents/people/265
"Benford, Harry.",/agents/people/266
"Beni, Jack A.",/agents/people/267
"Bennett, Flora.",/agents/people/268
"Benninghoff, W. S.",/agents/people/269
"Bennish, Gloria.",/agents/people/270
"Benson, Ezra Taft.",/agents/people/271
"Beozowski, John J.",/agents/people/272
"Berger, Carl F.",/agents/people/273
"Bergmann, Frithjof.",/agents/people/274
"Berlin, Lawrence S.",/agents/people/275
"Berndt, Raymond H.",/agents/people/276
"Bernstein, I. A.",/agents/people/277
"Bernstein, Leonard.",/agents/people/278
"Berry, Nabih.",/agents/people/279
"Berthelot, Helen W.",/agents/people/280
"Bertolaet, Frederick W.",/agents/people/281
"Bethune, Norman.",/agents/people/282
"Betz, Esther.",/agents/people/283
"Bevan, Elaine.",/agents/people/284
"Bevier, Jonathan.",/agents/people/285
"Bezner, Frederick O.",/agents/people/286
"Bicknell, John W.",/agents/people/287
"Biddle, George.",/agents/people/288
"Biederman, Myrtle.",/agents/people/289
"Bielskus, Tony.",/agents/people/290
"Bigby, Paul.",/agents/people/291
"Billetdeaux, Neal.",/agents/people/292
"Billings, Alan G.",/agents/people/293
"Billings, Hiram K.",/agents/people/294
"Billup, Edward Lee.",/agents/people/295
"Binder, Charles.",/agents/people/296
"Bingham, Mary Warden.",/agents/people/297
"Birch, Harriet A.",/agents/people/298
"Bird, Chauncey.",/agents/people/299
"Bird, James Pyper.",/agents/people/300
"Birkerts, Gunnar.",/agents/people/301
"Birney, Henry.",/agents/people/302
"Bisbee, Leland S.",/agents/people/303
"Bishop, Ronald.",/agents/people/304
"Black, Thomas E.",/agents/people/305
"Blackwelder, Justin.",/agents/people/306
"Blackwell, Walter.",/agents/people/307
"Blair, Effie.",/agents/people/308
"Blair, Geraldine.",/agents/people/309
"Blair, Sarah Ford.",/agents/people/310
"Blake, Aldrich.",/agents/people/311
"Blanchard, Florence A.",/agents/people/312
"Blanchard, Frieda Cobb.",/agents/people/313
"Blanchard, Isaac G.",/agents/people/314
"Blanchard, Janet.",/agents/people/315
"Blanco, Victor Manuel.",/agents/people/316
"Blanton, Richard E.",/agents/people/317
"Blazier, Craig.",/agents/people/318
"Bledsoe Ford, Deborah Geraldine.",/agents/people/319
"Bledsoe, Geraldine Neale.",/agents/people/320
"Bliss, William.",/agents/people/321
"Blois, John T.",/agents/people/322
"Blood, W. J.",/agents/people/323
"Blouin, Francis X.",/agents/people/324
"Bluestone, Barry.",/agents/people/325
"Bluestone, Irving.",/agents/people/326
"Bobbio, Joseph.",/agents/people/327
"Bodley, J. H.",/agents/people/328
"Boehm, Ernest R.",/agents/people/329
"Bohn, Theodore R.",/agents/people/330
"Bohr, David.",/agents/people/331
"Bolcom, William.",/agents/people/332
"Boldyreff, W.",/agents/people/333
"Bole, Giles G.",/agents/people/334
"Bolger, Ray.",/agents/people/335
"Bolt, Jay A.",/agents/people/336
"Bond, Floyd Alden.",/agents/people/337
"Bonnell, Jay H.",/agents/people/338
"Bonner, Ethel H.",/agents/people/339
"Boren, John.",/agents/people/340
"Borman, Abraham.",/agents/people/341
"Borman, Nancy.",/agents/people/342
"Borman, Paul.",/agents/people/343
"Boston, William.",/agents/people/344
"Boudeman, Dallas.",/agents/people/345
"Boulding, Elise.",/agents/people/346
"Bourjaily, Vance Nye.",/agents/people/347
"Bouscaren, Anthony Trawick.",/agents/people/348
"Bowen, John Edmund.",/agents/people/349
"Bowen, Lydia Graves.",/agents/people/350
"Bowen, Ralph.",/agents/people/351
"Bowie, W. Copeland (William Copeland)",/agents/people/352
"Bowler, Mary Summers.",/agents/people/353
"Boyarski, Dick.",/agents/people/354
"Boyle, William M.",/agents/people/355
"Brace, C. Loring",/agents/people/356
"Bradby, Robert L.",/agents/people/357
"Braddock, Jim.",/agents/people/358
"Braden, Marguerite Martindale.",/agents/people/359
"Bradfield, Elizabeth Palmer.",/agents/people/360
"Bradley, Richard.",/agents/people/361
"Bradley, Ronald.",/agents/people/362
"Bradner, C. C.",/agents/people/363
"Brady, James.",/agents/people/364
"Branch, E. L.",/agents/people/365
"Branch, Margaret.",/agents/people/366
"Brandon, Arthur Leon.",/agents/people/367
"Brandt, Richard B.",/agents/people/368
"Brasie, Geraldine.",/agents/people/369
"Brater, Elizabeth S.",/agents/people/370
"Brauckmann, Karl.",/agents/people/371
"Braxton, Anthony.",/agents/people/372
"Brazer, Marjorie Cahn.",/agents/people/373
"Bredernitz, Albert.",/agents/people/374
"Brennan, Thomas E.",/agents/people/375
"Brenneman, Hugh W.",/agents/people/376
"Brentano, Theodore.",/agents/people/377
"Bretschneider, Kathryn.",/agents/people/378
"Brewer, Helen.",/agents/people/379
"Brewster, Ralph O.",/agents/people/380
"Bridenbaugh, Carl.",/agents/people/381
"Bridge, Samuel J.",/agents/people/382
"Briggs, Robert D.",/agents/people/383
"Brigham, Edward Morris.",/agents/people/384
"Brinkerhoff, James F.",/agents/people/385
"Britton, Allen Perdue.",/agents/people/386
"Britton, Frank.",/agents/people/387
"Britton, Frederic H.",/agents/people/388
"Broaddus, B. F.",/agents/people/389
"Broek, Christina S.",/agents/people/390
"Broek, Dirk.",/agents/people/391
"Bromage, Mary Cogan.",/agents/people/392
"Brookings, W. W.",/agents/people/393
"Brooks, Datus C.",/agents/people/394
"Brooks, Earnest C.",/agents/people/395
"Brooks, John W.",/agents/people/396
"Brooks, Paul.",/agents/people/397
"Browder, Olin L.",/agents/people/398
"Brower, W. W. (Willis W.)",/agents/people/399
"Brown, A. Josephine.",/agents/people/400
"Brown, Barnum.",/agents/people/401
"Brown, Catherine.",/agents/people/402
"Brown, Cora Pulcipher.",/agents/people/403
"Brown, Curtis.",/agents/people/404
"Brown, Elizabeth Gaspar",/agents/people/405
"Brown, Frank R.",/agents/people/406
"Brown, Glenora W.",/agents/people/407
"Brown, Harry J.",/agents/people/408
"Brown, James A.",/agents/people/409
"Brown, James J.",/agents/people/410
"Brown, John Seely.",/agents/people/411
"Brown, Julia Clarice.",/agents/people/412
"Brown, Mabel Delia.",/agents/people/413
"Brown, Mabel.",/agents/people/414
"Brown, Muriel Buck Humphrey.",/agents/people/415
"Brown, Reese P.",/agents/people/416
"Browne, Anita.",/agents/people/417
"Browne, Sarah Mills Gayley.",/agents/people/418
"Brownmiller, Susan.",/agents/people/419
"Brownson, William T.",/agents/people/420
"Brubaker, C. B.",/agents/people/421
"Bruce, David Kirkpatrick Este.",/agents/people/422
"Bruce, E. D.",/agents/people/423
"Brucker, Clara H.",/agents/people/424
"Brucker, Wallace H.",/agents/people/425
"Bryant, Bunyan I.",/agents/people/426
"Bryant, Everett.",/agents/people/427
"Brée, Germaine.",/agents/people/428
"Buchanan, Frank Robert.",/agents/people/429
"Buchele, Luther.",/agents/people/430
"Buchwald, Art.",/agents/people/431
"Buck, Bea.",/agents/people/432
"Buck, Charles W.",/agents/people/433
"Buck, Myron.",/agents/people/434
"Buck, Norman.",/agents/people/435
"Buck, Susan Field.",/agents/people/436
"Buckbee, Henry Cheever.",/agents/people/437
"Buckbee, Julian Edward.",/agents/people/438
"Buckley, L. Paul.",/agents/people/439
"Buell, J. Joseph.",/agents/people/440
"Buell, Jennie.",/agents/people/441
